period,cluster
1999_2005,C823
1999_2005,C422
1999_2005,C727
1999_2005,C1376
1999_2005,C25
1999_2005,C292
1999_2005,C244
1999_2005,C55
1999_2005,C101
1999_2005,C270
1999_2005,C708
1999_2005,C129
1999_2005,C210
1999_2005,C236
1999_2005,C514
1999_2005,C4
1999_2005,C1056
1999_2005,C396
1999_2005,C1267
1999_2005,C990
1999_2005,C563
1999_2005,C112
1999_2005,C983
1999_2005,C862
1999_2005,C1021
1999_2005,C277
1999_2005,C494
1999_2005,C275
1999_2005,C540
1999_2005,C31
1999_2005,C440
1999_2005,C1035
1999_2005,C865
1999_2005,C746
1999_2005,C94
1999_2005,C75
1999_2005,C958
1999_2005,C856
1999_2005,C579
1999_2005,C639
1999_2005,C487
1999_2005,C834
1999_2005,C216
1999_2005,C1743
1999_2005,C948
1999_2005,C492
1999_2005,C998
1999_2005,C750
1999_2005,C775
1999_2005,C737
1999_2005,C482
1999_2005,C585
1999_2005,C855
1999_2005,C491
1999_2005,C1581
1999_2005,C973
1999_2005,C986
1999_2005,C1006
1999_2005,C616
1999_2005,C684
1999_2005,C1630
1999_2005,C231
1999_2005,C1477
1999_2005,C522
1999_2005,C1046
1999_2005,C1105
1999_2005,C697
1999_2005,C581
1999_2005,C979
1999_2005,C1000
1999_2005,C479
1999_2005,C1117
1999_2005,C370
1999_2005,C587
1999_2005,C175
1999_2005,C6
1999_2005,C71
1999_2005,C53
1999_2005,C179
1999_2005,C672
1999_2005,C58
1999_2005,C458
1999_2005,C23
1999_2005,C117
1999_2005,C42
1999_2005,C590
1999_2005,C433
1999_2005,C476
1999_2005,C212
1999_2005,C995
1999_2005,C748
1999_2005,C894
1999_2005,C543
1999_2005,C178
1999_2005,C48
1999_2005,C113
1999_2005,C939
1999_2005,C692
1999_2005,C640
1999_2005,C1010
1999_2005,C84
1999_2005,C536
1999_2005,C475
1999_2005,C1656
1999_2005,C509
1999_2005,C37
1999_2005,C821
1999_2005,C860
1999_2005,C289
1999_2005,C884
1999_2005,C383
1999_2005,C45
1999_2005,C389
1999_2005,C535
1999_2005,C673
1999_2005,C883
1999_2005,C381
1999_2005,C867
1999_2005,C520
1999_2005,C803
1999_2005,C92
1999_2005,C187
1999_2005,C99
1999_2005,C185
1999_2005,C742
1999_2005,C166
1999_2005,C854
1999_2005,C1215
1999_2005,C882
1999_2005,C773
1999_2005,C797
1999_2005,C811
1999_2005,C747
1999_2005,C857
1999_2005,C1067
1999_2005,C798
1999_2005,C1132
1999_2005,C743
1999_2005,C1690
1999_2005,C442
1999_2005,C770
1999_2005,C827
1999_2005,C1338
1999_2005,C754
1999_2005,C575
1999_2005,C68
1999_2005,C1311
1999_2005,C102
1999_2005,C51
1999_2005,C870
1999_2005,C339
1999_2005,C946
1999_2005,C801
1999_2005,C354
1999_2005,C984
1999_2005,C467
1999_2005,C758
1999_2005,C725
1999_2005,C222
1999_2005,C469
1999_2005,C265
1999_2005,C429
1999_2005,C278
1999_2005,C150
1999_2005,C41
1999_2005,C783
1999_2005,C437
1999_2005,C96
1999_2005,C459
1999_2005,C138
1999_2005,C1470
1999_2005,C723
1999_2005,C786
1999_2005,C991
1999_2005,C477
1999_2005,C1049
1999_2005,C1546
1999_2005,C830
1999_2005,C689
1999_2005,C562
1999_2005,C465
1999_2005,C730
